risk_description,impact_description,impact_level,probability_level,priority_level,owner,status
Cybersecurity Risk,Data breach exposing student records,5,4,20,IT Security,Active
Financial Stability,Declining enrollment reduces revenue,5,3,15,Finance Office,Active
Disruption of Services,Natural disasters disrupt campus operations,5,3,15,Campus Safety,Active
Market Demand Changes,Industry shifts reduce program enrollment,5,2,10,Academic Affairs,Monitoring
Facilities & Equipment,Aging equipment impacts safety,4,2,8,Facilities,Monitoring
Staffing Challenges,Faculty shortages impact programs,4,2,8,HR,Monitoring
Health & Safety,Workplace injuries or safety incidents,5,2,7,Safety Office,Monitoring
Regulatory Compliance,Failure to meet accreditation standards,5,1,6,Compliance Office,Monitoring
Reputation Management,Negative publicity affects enrollment,5,1,6,Communications,Monitoring
Intellectual Property,Copyright violations by students or staff,3,1,3,Legal Affairs,Low
